iter	RMSE
143	4.974542661
144	4.968974321
145	4.961970856
146	4.955752417
147	4.950587899
148	4.944120086
149	4.9398748
150	4.934096738
151	4.927368068
152	4.923605491
153	4.918538195
154	4.9138946
155	4.908530976
156	4.902112321
157	4.897206923
158	4.888875162
159	4.882179804
160	4.876983191
161	4.873181454
162	4.864497443
163	4.8571812
164	4.850590397
165	4.845072662
166	4.841311346
167	4.836974279
168	4.832597104
169	4.827257196
170	4.822802652
171	4.819140814
172	4.814438627
173	4.809953041
174	4.804642196
175	4.800965219
176	4.795028875
177	4.790991194
178	4.786543384
179	4.782189455
180	4.779079052
181	4.775467447
182	4.77107068
183	4.76731817
184	4.764739466
185	4.757371115
186	4.752224227
187	4.748250002
188	4.743487424
189	4.737790122
190	4.732266186
191	4.72598802
192	4.720978978
193	4.717831079
194	4.712182856
195	4.708039396
196	4.703557287
197	4.699204743
198	4.694241656
199	4.691568536
200	4.688717414
201	4.685146236
202	4.680320888
203	4.674259783
204	4.671629687
205	4.666936307
206	4.663410829
207	4.659439173
208	4.656558552
209	4.653173696
210	4.64700509
211	4.643349521
212	4.640800277
213	4.636880253
214	4.629202712
215	4.627346866
216	4.621237203
217	4.618459955
218	4.616240648
219	4.612362672
220	4.609284536
221	4.605934099
222	4.601299393
223	4.598148672
224	4.594598778
225	4.593015264
226	4.590862144
227	4.586271469
228	4.583164846
229	4.579358771
230	4.574418057
231	4.569511032
232	4.5614444
233	4.558066884
234	4.556607289
235	4.548516536
236	4.543012125
237	4.541719607
238	4.53867734
239	4.536634142
240	4.532403525
241	4.529554204
242	4.524925373
243	4.521862875
244	4.516592814
245	4.511089592
246	4.506041436
247	4.501062745
248	4.494295541
249	4.490405653
250	4.487865732
251	4.484228267
252	4.478373892
253	4.473488595
254	4.468900853
255	4.462088356
256	4.457793714
257	4.454867937
258	4.451491543
259	4.447211279
260	4.442070133
261	4.439629114
262	4.435848147
263	4.433255557
264	4.432911584
265	4.42974591
266	4.42657423
267	4.424284341
268	4.422286595
269	4.419010969
270	4.416482577
271	4.41179589
272	4.404048774
273	4.40124015
274	4.396818547
275	4.395646846
276	4.392729977
277	4.385372509
278	4.38068343
279	4.376924995
280	4.375385825
281	4.370476588
282	4.369987513
283	4.366954466
284	4.364172267
285	4.36110041
286	4.358872216
287	4.352170317
288	4.349982711
289	4.34419428
290	4.340127599
291	4.335468216
292	4.330333366
293	4.328104348
294	4.32410713
295	4.32085711
296	4.316591109
297	4.313891439
298	4.307148994
299	4.303080652
300	4.299289557
301	4.298475052
302	4.293519817
303	4.293116901
304	4.287974487
305	4.281879
306	4.27951743
307	4.275463693
308	4.272863305
309	4.267179407
310	4.265748653
311	4.261585405
312	4.258364152
313	4.255456913
314	4.253973444
315	4.250832402
316	4.249223279
317	4.24531806
318	4.245108331
319	4.241228858
320	4.235825397
321	4.228503203
322	4.225173635
323	4.224660103
324	4.219642937
325	4.212399714
326	4.208611008
327	4.206794287
328	4.20119944
329	4.199556175
330	4.197255965
331	4.190432255
332	4.185898278
333	4.182138365
334	4.177691959
335	4.173807469
336	4.168535177
337	4.167339035
338	4.16507274
339	4.158063368
340	4.154438997
341	4.148499318
342	4.146147816
343	4.140922854
344	4.137061408
345	4.134014307
346	4.130341687
347	4.129442073
348	4.126551757
349	4.1225529
350	4.120043418
351	4.113451225
352	4.111827732
353	4.105137506
354	4.100765874
355	4.095155229
356	4.092014396
357	4.08749109
358	4.085265201
359	4.082924047
360	4.07537468
361	4.072422976
362	4.065756478
363	4.059844197
364	4.056612787
365	4.054553206
366	4.050597942
367	4.044663423
368	4.042695545
369	4.037848798
370	4.031224264
371	4.025970997
372	4.021433328
373	4.018392922
374	4.015107812
375	4.008858208
376	4.008490658
377	4.003802887
378	3.997336118
379	3.994870933
380	3.991470668
381	3.984778771
382	3.984476338
383	3.980196504
384	3.977005336
385	3.974630539
386	3.969681952
387	3.967985308
388	3.967602512
389	3.963981688
390	3.95943285
391	3.954774796
392	3.953030479
393	3.949827465
394	3.946018237
395	3.943464243
396	3.937314539
397	3.930856966
398	3.922074034
399	3.921212048
400	3.919115242
401	3.915003154
402	3.912513466
403	3.911065563
404	3.909677887
405	3.905583942
406	3.903501312
407	3.900624526
408	3.897059924
409	3.896093614
410	3.892602975
411	3.889604714
412	3.885625886
413	3.881050971
414	3.877429853
415	3.873849285
416	3.870676464
417	3.865224246
418	3.861012238
419	3.857793258
420	3.852683217
421	3.848275026
422	3.846694303
423	3.843172318
424	3.840231148
425	3.837347619
426	3.833749758
427	3.830939358
428	3.828755462
429	3.827809876
430	3.825310207
431	3.823200935
432	3.819992736
433	3.814950012
434	3.810635386
435	3.808940287
436	3.806718649
437	3.80356784
438	3.798540743
439	3.796448708
440	3.795006589
441	3.792752931
442	3.791830227
443	3.78901635
444	3.786516874
445	3.783681955
446	3.781981227
447	3.779138339
448	3.776632064
449	3.772520114
450	3.767640185
451	3.763020055
452	3.761682516
453	3.756129327
454	3.75275299
455	3.748265869
456	3.747256108
457	3.745480265
458	3.742593759
459	3.737411812
460	3.73311764
461	3.730430698
462	3.728176795
463	3.724743408
464	3.723862429
465	3.722004608
466	3.719316826
467	3.713462204
468	3.707121514
469	3.703297206
470	3.701766023
471	3.698543173
472	3.695768657
473	3.693747716
474	3.691716103
475	3.690519503
476	3.686967581
477	3.683805963
478	3.682754506
479	3.68001541
480	3.67590951
481	3.674066876
482	3.668237859
483	3.664096045
484	3.661807233
485	3.658523649
486	3.652474318
487	3.648955516
488	3.644152767
489	3.642056909
490	3.637488315
491	3.635204938
492	3.633925472
493	3.629043977
494	3.623171329
495	3.621192817
496	3.617626309
497	3.615431218
498	3.612729472
499	3.610428464
500	3.608300926
501	3.604532425
502	3.601965393
503	3.599779132
504	3.598340875
505	3.596056053
506	3.594420312
507	3.591039196
508	3.588570304
509	3.583150975
510	3.579137426
511	3.576615227
512	3.574281097
513	3.571630651
514	3.568204853
515	3.563424728
516	3.557028928
517	3.555844179
518	3.552275276
519	3.551264539
520	3.546363492
521	3.542104626
522	3.539348056
523	3.537726573
524	3.535405154
525	3.528495225
526	3.525920896
527	3.52396569
528	3.522664783
529	3.519873075
530	3.518826992
531	3.515606664
532	3.513453385
533	3.50970429
534	3.507952218
535	3.505250244
536	3.502986171
537	3.50160035
538	3.498357931
539	3.496313987
540	3.493236833
541	3.492726613
542	3.49131357
543	3.488417361
544	3.484271329
545	3.48063307
546	3.478872192
547	3.475649668
548	3.473189262
549	3.469279124
550	3.467111807
551	3.464601679
552	3.463371098
553	3.461690205
554	3.459228684
555	3.456293814
556	3.452547035
557	3.450827491
558	3.446243936
559	3.442840663
560	3.441318873
561	3.438449632
562	3.43780549
563	3.43715412
564	3.43632858
565	3.435672605
566	3.433242539
567	3.428779492
568	3.426087121
569	3.423167665
570	3.420631068
571	3.416188937
572	3.4142539
573	3.412430787
574	3.410062898
575	3.406182163
576	3.40137736
577	3.39748431
578	3.394402187
579	3.391738771
580	3.390153676
581	3.388072958
582	3.384146085
583	3.381904565
584	3.376399552
585	3.374813182
586	3.37162398
587	3.369423247
588	3.36713867
589	3.364451605
590	3.360908136
591	3.35660276
592	3.353570172
593	3.351854179
594	3.346573127
595	3.341745631
596	3.339589692
597	3.337442413
598	3.333701191
599	3.333022369
600	3.329688686
601	3.327592784
602	3.324605934
603	3.322044611
604	3.317706107
605	3.314868752
606	3.314311628
607	3.311149314
608	3.310207721
609	3.30802249
610	3.306143376
611	3.304841452
612	3.302479923
613	3.296743142
614	3.294801346
615	3.29278685
616	3.290644574
617	3.288628393
618	3.286019381
619	3.283498543
620	3.279782608
621	3.277511931
622	3.275214276
623	3.273665832
624	3.271693014
625	3.268767883
626	3.265665495
627	3.260642947
628	3.258444227
629	3.254487882
630	3.251789414
631	3.247267587
632	3.245027214
633	3.243765397
634	3.2420079
635	3.240808539
636	3.237005865
637	3.235462886
638	3.23367686
639	3.231348347
640	3.227261424
641	3.225889229
642	3.223386146
643	3.217594163
644	3.215594697
645	3.210504005
646	3.208269627
647	3.205932307
648	3.203710552
649	3.200068916
650	3.197610237
651	3.19589848
652	3.195293347
653	3.193464245
654	3.192168584
655	3.191509136
656	3.190066024
657	3.184579313
658	3.182620879
659	3.179887491
660	3.176592187
661	3.174845702
662	3.172841135
663	3.170643119
664	3.169084616
665	3.16755573
666	3.16459198
667	3.161532632
668	3.157470607
669	3.156747319
670	3.15485007
671	3.153343848
672	3.150011744
673	3.147464221
674	3.145399296
675	3.143802866
676	3.142819581
677	3.139025937
678	3.136821497
679	3.13562427
680	3.132034563
681	3.130361531
682	3.126105015
683	3.124264296
684	3.121061229
685	3.118958237
686	3.112807047
687	3.109276458
688	3.107196184
689	3.102829275
690	3.100625839
691	3.095346382
692	3.089703217
693	3.088200463
694	3.084784348
695	3.083094256
696	3.081089604
697	3.078994468
698	3.078065529
699	3.076582879
700	3.075396891
701	3.07194957
702	3.069877935
703	3.068891389
704	3.067362296
705	3.06414058
706	3.063371658
707	3.063003818
708	3.061626007
709	3.058061212
710	3.056676515
711	3.053875302
712	3.053308537
713	3.051649981
714	3.05054858
715	3.048193567
716	3.044196638
717	3.043461609
718	3.043007965
719	3.041245515
720	3.03926037
721	3.037320177
722	3.034812643
723	3.031968663
724	3.030477857
725	3.0271374
726	3.023913955
727	3.021145594
728	3.020186147
729	3.019319061
730	3.017882819
731	3.015295003
732	3.013973578
733	3.01211796
734	3.009589269
735	3.007624208
736	3.005138796
737	3.003465682
738	3.000861489
739	2.99535312
740	2.995152602
741	2.992977288
742	2.992441002
743	2.988717393
744	2.986895712
745	2.984870465
746	2.984153353
747	2.98240685
748	2.981250603
749	2.979547338
750	2.977883219
751	2.975459102
752	2.972600549
753	2.970254396
754	2.968371103
755	2.967251487
756	2.965734592
757	2.964659093
758	2.963035549
759	2.960751516
760	2.959490796
761	2.956895365
762	2.955295025
763	2.95490919
764	2.953625418
765	2.95198515
766	2.950122226
767	2.949129048
768	2.947891278
769	2.944780494
770	2.941884394
771	2.940740432
772	2.938685971
773	2.937313427
774	2.936598044
775	2.93550772
776	2.933845472
777	2.929446543
778	2.926192932
779	2.923306346
780	2.922835775
781	2.920854478
782	2.917949978
783	2.917054418
784	2.91520357
785	2.914131124
786	2.911547918
787	2.909965658
788	2.908452463
789	2.906639021
790	2.905617006
791	2.903191982
792	2.900319678
793	2.900159409
794	2.89718915
795	2.895449532
796	2.89418337
797	2.892619839
798	2.889679624
799	2.887788668
800	2.886011192
801	2.884132461
802	2.881759484
803	2.880250943
804	2.878534996
805	2.87646064
806	2.874658414
807	2.873962709
808	2.872040422
809	2.870793974
810	2.869145617
811	2.868321817
812	2.862655078
813	2.861276071
814	2.859728134
815	2.858067621
816	2.857349154
817	2.856283985
818	2.854627759
819	2.851100167
820	2.848063608
821	2.846048102
822	2.844892364
823	2.843435569
824	2.842350794
825	2.841216733
826	2.839843535
827	2.83841132
828	2.837525013
829	2.835426529
830	2.834083101
831	2.833289583
832	2.830656225
833	2.829922973
834	2.827725278
835	2.827606842
836	2.826564378
837	2.825742817
838	2.825480513
839	2.821773397
840	2.817986691
841	2.817385716
842	2.815000274
843	2.812940288
844	2.810026789
845	2.806988287
846	2.806197475
847	2.804701473
848	2.802168907
849	2.799503652
850	2.798384575
851	2.796905745
852	2.794382901
853	2.792504867
854	2.791729016
855	2.790857465
856	2.789676835
857	2.788327602
858	2.786314659
859	2.785113856
860	2.783148292
861	2.782507819
862	2.780953189
863	2.780545343
864	2.779125022
865	2.777658202
866	2.775700906
867	2.775354908
868	2.771536969
869	2.770131673
870	2.767261898
871	2.764169262
872	2.762849
873	2.76092854
874	2.758798893
875	2.757933703
876	2.755818686
877	2.754398513
878	2.750568799
879	2.749277581
880	2.748451083
881	2.744634824
882	2.74300248
883	2.742267858
884	2.740734357
885	2.739877349
886	2.738142614
887	2.736097782
888	2.732733258
889	2.731425429
890	2.729585899
891	2.726893865
892	2.724493468
893	2.723360783
894	2.719775691
895	2.718975292
896	2.717409664
897	2.715694741
898	2.714022976
899	2.711697903
900	2.709319438
901	2.707389839
902	2.705648134
903	2.704406802
904	2.702585532
905	2.701158278
906	2.700844524
907	2.700074567
908	2.697639738
909	2.696643923
910	2.695393427
911	2.694445896
912	2.694073811
913	2.692474423
914	2.690431388
915	2.68870816
916	2.686891354
917	2.684784531
918	2.682803563
919	2.680269334
920	2.678450778
921	2.676784431
922	2.674569807
923	2.67426945
924	2.671979584
925	2.670340715
926	2.667198779
927	2.666186179
928	2.663932434
929	2.661739539
930	2.660949014
931	2.66038718
932	2.659272316
933	2.658796206
934	2.657300279
935	2.656026027
936	2.655557095
937	2.654877611
938	2.653172858
939	2.65204416
940	2.651877537
941	2.649339948
942	2.648076808
943	2.647662275
944	2.644323271
945	2.643369569
946	2.64219532
947	2.640135473
948	2.638861871
949	2.636631915
950	2.633604195
951	2.632696469
952	2.629475271
953	2.627462429
954	2.626197336
955	2.625772839
956	2.623516396
957	2.622483008
958	2.619757443
959	2.61891482
960	2.61783454
961	2.615831209
962	2.611663042
963	2.609992899
964	2.60860643
965	2.606388614
966	2.604938562
967	2.601795903
968	2.59988791
969	2.598812092
970	2.596535791
971	2.5950291
972	2.593551879
973	2.59185974
974	2.591187873
975	2.589910049
976	2.588616575
977	2.587045856
978	2.584384053
979	2.58218792
980	2.580714345
981	2.580240117
982	2.578243358
983	2.574859911
984	2.573680219
985	2.573352971
986	2.572292807
987	2.571150085
988	2.570162414
989	2.567544606
990	2.564685916
991	2.562741387
992	2.561732113
993	2.558803174
994	2.557788187
995	2.557443296
996	2.556042943
997	2.554016692
998	2.552815614
999	2.55165191
