iter	RMSE
0	14.62615707
1	14.31054878
2	13.95671288
3	13.6227847
4	13.28094582
5	12.98448541
6	12.70825765
7	12.42343297
8	12.12850156
9	11.8358902
10	11.57616598
11	11.31198638
12	11.06348788
13	10.81455295
14	10.58579575
15	10.35701651
16	10.13593049
17	9.942402251
18	9.781256538
19	9.576369041
20	9.388422663
21	9.211543025
22	9.080785321
23	8.90658719
24	8.741348168
25	8.587021179
26	8.443383513
27	8.305384336
28	8.178537478
29	8.074368082
30	7.953276775
31	7.838800158
32	7.739391639
33	7.631866036
34	7.537738673
35	7.433104033
36	7.33288558
37	7.241597178
38	7.162480704
39	7.092323183
40	7.015743905
41	6.956878768
42	6.883923916
43	6.810057338
44	6.748182717
45	6.679539252
46	6.621881017
47	6.576848272
48	6.524706446
49	6.463912993
50	6.414879602
51	6.367749735
52	6.320346697
53	6.27986237
54	6.241080221
55	6.202880101
56	6.159426001
57	6.123836561
58	6.085787997
59	6.048372952
60	6.01461159
61	5.976062637
62	5.946874137
63	5.919101338
64	5.887124934
65	5.853445043
66	5.82747325
67	5.801824237
68	5.782159051
69	5.753597061
70	5.737723428
71	5.717987752
72	5.6971627
73	5.675840444
74	5.655138166
75	5.638171972
76	5.617171846
77	5.601470676
78	5.579869853
79	5.56217471
80	5.541457707
81	5.523621885
82	5.50644986
83	5.49278964
84	5.477222725
85	5.460862161
86	5.445815383
87	5.430317678
88	5.424516506
89	5.412250833
90	5.394745288
91	5.381709304
92	5.370586836
93	5.3617727
94	5.349432743
95	5.337873862
96	5.328242435
97	5.321109555
98	5.309130514
99	5.297563943
100	5.285983033
101	5.276529159
102	5.267180167
103	5.26079194
104	5.251170389
105	5.244963093
106	5.234876891
107	5.227391143
108	5.215522171
109	5.210161916
110	5.198967913
111	5.186704282
112	5.17713185
113	5.169224962
114	5.156287725
115	5.15079608
116	5.141496924
117	5.131143494
118	5.125786821
119	5.117375755
120	5.110699848
121	5.102389335
122	5.095679076
123	5.091270495
124	5.08546153
125	5.081530947
126	5.077306918
127	5.073913941
128	5.067058004
129	5.058161747
130	5.051873405
131	5.048324087
132	5.042023818
133	5.037756528
134	5.031461729
135	5.025043996
136	5.019647865
137	5.013953852
138	5.008233082
139	5.000633086
140	4.993942654
141	4.988092704
142	4.981420744
