iter	Passed	Remaining
451	1066	1293
452	1068	1289
453	1069	1286
454	1076	1289
455	1078	1286
456	1079	1282
457	1081	1279
458	1082	1276
459	1084	1272
460	1085	1269
461	1086	1265
462	1091	1266
463	1094	1264
464	1096	1261
465	1097	1257
466	1098	1253
467	1100	1250
468	1101	1247
469	1102	1243
470	1106	1242
471	1107	1239
472	1109	1235
473	1110	1232
474	1111	1228
475	1113	1225
476	1114	1222
477	1115	1218
478	1117	1215
479	1121	1214
480	1122	1211
481	1124	1208
482	1125	1205
483	1127	1201
484	1128	1198
485	1129	1195
486	1131	1191
487	1132	1188
488	1135	1186
489	1136	1183
490	1138	1179
491	1139	1176
492	1141	1173
493	1142	1170
494	1143	1166
495	1145	1163
496	1147	1161
497	1150	1160
498	1152	1156
499	1153	1153
500	1154	1150
501	1156	1147
502	1157	1143
503	1159	1140
504	1160	1137
505	1163	1135
506	1165	1132
507	1166	1129
508	1167	1126
509	1169	1123
510	1170	1120
511	1171	1116
512	1173	1114
513	1174	1110
514	1180	1111
515	1181	1108
516	1182	1105
517	1184	1102
518	1185	1099
519	1187	1096
520	1189	1093
521	1190	1090
522	1194	1089
523	1196	1086
524	1197	1083
525	1198	1080
526	1200	1077
527	1201	1074
528	1203	1071
529	1208	1071
530	1210	1069
531	1212	1066
532	1213	1063
533	1215	1060
534	1216	1057
535	1217	1054
536	1219	1051
537	1227	1054
538	1229	1051
539	1230	1048
540	1232	1045
541	1233	1042
542	1235	1039
543	1238	1038
544	1240	1035
545	1241	1032
546	1243	1029
547	1244	1026
548	1245	1023
549	1247	1020
550	1248	1017
551	1250	1015
552	1254	1014
553	1256	1011
554	1258	1008
555	1260	1006
556	1261	1003
557	1263	1000
558	1265	998
559	1268	996
560	1273	996
561	1275	994
562	1277	991
563	1279	988
564	1282	987
565	1285	985
566	1288	984
567	1292	983
568	1294	980
569	1296	978
570	1298	975
571	1300	973
572	1302	970
573	1303	967
574	1305	964
575	1309	963
576	1312	962
577	1314	959
578	1315	956
579	1316	953
580	1318	950
581	1319	947
582	1321	945
583	1323	942
584	1327	941
585	1329	939
586	1330	936
587	1332	933
588	1333	930
589	1335	927
590	1336	924
591	1338	922
592	1342	921
593	1346	920
594	1348	917
595	1349	914
596	1351	912
597	1352	909
598	1353	906
599	1357	904
600	1358	902
601	1361	900
602	1364	898
603	1366	895
604	1367	892
605	1369	890
606	1372	888
607	1373	885
608	1374	882
609	1377	880
610	1380	878
611	1381	876
612	1383	873
613	1385	870
614	1387	868
615	1389	866
616	1390	863
617	1395	862
618	1397	860
619	1399	857
620	1402	855
621	1403	852
622	1405	850
623	1406	847
624	1407	844
625	1409	842
626	1412	840
627	1416	838
628	1418	836
629	1419	833
630	1421	831
631	1422	828
632	1423	825
633	1425	822
634	1426	820
635	1428	817
636	1430	815
637	1431	812
638	1433	809
639	1434	806
640	1436	804
641	1437	801
642	1438	798
643	1440	796
644	1442	794
645	1445	791
646	1447	789
647	1448	786
648	1449	784
649	1451	781
650	1452	778
651	1454	776
652	1456	773
653	1459	771
654	1460	769
655	1461	766
656	1463	763
657	1464	761
658	1465	758
659	1467	755
660	1468	753
661	1470	750
662	1473	748
663	1474	746
664	1475	743
665	1477	740
666	1478	738
667	1480	735
668	1481	732
669	1482	730
670	1484	727
671	1485	725
672	1487	722
673	1488	719
674	1489	717
675	1491	714
676	1492	712
677	1493	709
678	1495	706
679	1496	704
680	1497	701
681	1499	699
682	1501	696
683	1502	694
684	1504	691
685	1505	689
686	1506	686
687	1508	683
688	1509	681
689	1510	678
690	1512	676
691	1513	673
692	1515	671
693	1516	668
694	1518	666
695	1519	663
696	1520	661
697	1522	658
698	1523	656
699	1525	653
700	1526	651
701	1528	648
702	1529	646
703	1530	643
704	1532	641
705	1533	638
706	1534	636
707	1536	633
708	1537	631
709	1538	628
710	1540	626
711	1541	623
712	1542	621
713	1544	618
714	1545	616
715	1547	613
716	1549	611
717	1550	608
718	1552	606
719	1553	604
720	1554	601
721	1556	599
722	1557	596
723	1558	594
724	1560	591
725	1562	589
726	1563	587
727	1565	584
728	1566	582
729	1567	579
730	1569	577
731	1570	574
732	1571	572
733	1573	570
734	1574	567
735	1576	565
736	1578	563
737	1579	560
738	1581	558
739	1582	556
740	1584	553
741	1585	551
742	1587	549
743	1589	546
744	1590	544
745	1591	541
746	1593	539
747	1594	537
748	1595	534
749	1597	532
750	1598	530
751	1600	527
752	1601	525
753	1603	523
754	1604	520
755	1606	518
756	1607	515
757	1608	513
758	1610	511
759	1611	508
760	1612	506
761	1614	504
762	1616	501
763	1617	499
764	1618	497
765	1620	494
766	1621	492
767	1622	490
768	1624	487
769	1625	485
770	1626	483
771	1628	480
772	1629	478
773	1631	476
774	1632	473
775	1633	471
776	1635	469
777	1636	466
778	1637	464
779	1639	462
780	1640	460
781	1641	457
782	1643	455
783	1644	453
784	1646	450
785	1647	448
786	1648	446
787	1650	443
788	1651	441
789	1652	439
790	1654	437
791	1655	434
792	1657	432
793	1658	430
794	1659	428
795	1661	425
796	1662	423
797	1663	421
798	1665	418
799	1666	416
800	1667	414
801	1669	412
802	1670	409
803	1672	407
804	1673	405
805	1674	403
806	1676	400
807	1677	398
808	1678	396
809	1680	394
810	1681	391
811	1682	389
812	1684	387
813	1685	385
814	1686	382
815	1688	380
816	1689	378
817	1690	376
818	1692	373
819	1693	371
820	1694	369
821	1696	367
822	1697	365
823	1699	362
824	1700	360
825	1701	358
826	1703	356
827	1704	354
828	1705	351
829	1707	349
830	1708	347
831	1709	345
832	1711	343
833	1712	340
834	1714	338
835	1715	336
836	1717	334
837	1718	332
838	1719	330
839	1721	327
840	1722	325
841	1723	323
842	1725	321
843	1726	319
844	1728	317
845	1729	314
846	1730	312
847	1732	310
848	1733	308
849	1735	306
850	1736	304
851	1737	301
852	1739	299
853	1740	297
854	1742	295
855	1743	293
856	1744	291
857	1746	288
858	1747	286
859	1748	284
860	1750	282
861	1751	280
862	1753	278
863	1755	276
864	1756	274
865	1757	272
866	1759	269
867	1760	267
868	1761	265
869	1763	263
870	1764	261
871	1766	259
872	1767	257
873	1768	255
874	1770	252
875	1771	250
876	1772	248
877	1774	246
878	1775	244
879	1777	242
880	1778	240
881	1780	238
882	1781	236
883	1782	233
884	1784	231
885	1785	229
886	1786	227
887	1788	225
888	1789	223
889	1791	221
890	1793	219
891	1794	217
892	1795	215
